ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01879,15764,1.000000000,1.000000000,1.000000000,1.000000000
01906,15764,0.999910482,1.000000000,1.000000000,0.999920464
01940,15764,1.000000000,1.000000000,1.000000000,1.000000000
02019,14454,1.000000000,1.000000000,1.000000000,1.000000000
01966,15764,1.000000000,1.000000000,1.000000000,1.000000000
02035,14454,1.000000000,1.000000000,1.000000000,1.000000000
02021,14454,1.000000000,1.000000000,1.000000000,1.000000000
02056,14454,1.000000000,1.000000000,1.000000000,1.000000000
02113,14454,1.000000000,1.000000000,1.000000000,1.000000000
02124,14454,1.000000000,1.000000000,1.000000000,1.000000000
02127,14454,1.000000000,1.000000000,1.000000000,1.000000000
02332,14454,1.000000000,1.000000000,1.000000000,1.000000000
02302,14454,1.000000000,1.000000000,1.000000000,1.000000000
02368,14454,1.000000000,1.000000000,1.000000000,1.000000000
02453,15764,1.000000000,1.000000000,1.000000000,1.000000000
02468,15764,1.000000000,1.000000000,1.000000000,1.000000000
02472,15764,1.000000000,1.000000000,1.000000000,1.000000000
02559,12700,1.000000000,1.000000000,1.000000000,1.000000000
02537,12700,1.000000000,1.000000000,1.000000000,1.000000000
02657,12700,1.000000000,1.000000000,1.000000000,1.000000000
03032,40484,1.000000000,1.000000000,1.000000000,1.000000000
03038,40484,1.000000000,1.000000000,1.000000000,1.000000000
03033,31700,1.000000000,1.000000000,1.000000000,1.000000000
03451,28300,1.000000000,1.000000000,1.000000000,1.000000000
03446,28300,1.000000000,1.000000000,1.000000000,1.000000000
03447,28300,1.000000000,1.000000000,1.000000000,1.000000000
03582,13620,1.000000000,1.000000000,1.000000000,1.000000000
03266,17200,1.000000000,1.000000000,1.000000000,1.000000000
03269,29060,1.000000000,1.000000000,1.000000000,1.000000000
03243,18180,0.958241758,0.909090909,1.000000000,0.957716702
03101,31700,1.000000000,1.000000000,1.000000000,1.000000000
03104,31700,0.996961307,1.000000000,1.000000000,0.997251069
03079,40484,1.000000000,1.000000000,1.000000000,1.000000000
03216,18180,1.000000000,1.000000000,1.000000000,1.000000000
03108,31700,1.000000000,1.000000000,1.000000000,1.000000000
03109,31700,1.000000000,1.000000000,1.000000000,1.000000000
03062,31700,1.000000000,1.000000000,1.000000000,1.000000000
03057,31700,1.000000000,1.000000000,1.000000000,1.000000000
03055,31700,1.000000000,1.000000000,1.000000000,1.000000000
03043,31700,1.000000000,1.000000000,1.000000000,1.000000000
03070,31700,1.000000000,1.000000000,1.000000000,1.000000000
04055,38860,1.000000000,1.000000000,1.000000000,1.000000000
04073,38860,1.000000000,1.000000000,1.000000000,1.000000000
03835,40484,1.000000000,1.000000000,1.000000000,1.000000000
03820,40484,1.000000000,1.000000000,1.000000000,1.000000000
03865,40484,1.000000000,1.000000000,1.000000000,1.000000000
03830,99999,1.000000000,1.000000000,1.000000000,1.000000000
03840,40484,1.000000000,1.000000000,1.000000000,1.000000000
03858,40484,1.000000000,1.000000000,1.000000000,1.000000000
03855,40484,1.000000000,1.000000000,1.000000000,1.000000000
03860,99999,1.000000000,1.000000000,1.000000000,1.000000000
03770,17200,1.000000000,1.000000000,1.000000000,1.000000000
03753,17200,1.000000000,1.000000000,1.000000000,1.000000000
03586,17200,1.000000000,1.000000000,1.000000000,1.000000000
04441,99999,1.000000000,1.000000000,1.000000000,1.000000000
04414,99999,1.000000000,1.000000000,1.000000000,1.000000000
04419,12620,1.000000000,1.000000000,1.000000000,1.000000000
04357,38860,0.998192771,1.000000000,1.000000000,0.998347107
04450,12620,1.000000000,1.000000000,1.000000000,1.000000000
04406,99999,1.000000000,1.000000000,1.000000000,1.000000000
