UA,UANAME,CBSA,MNAME,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
04843,"Baltimore, MD Urbanized Area",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1,58211,24598,42598320,42119454,2203663,939420,1922732374,1857113332,5582170,2213752,15618609007,14499580792,2.64,2.62,2.22,2.27,1.04,1.11,.27,.29
04870,"Baltimore, OH Urban Cluster",18140,"Columbus, OH Metro Area",1,3503,1496,6949123,6949123,3503,1496,6949123,6949123,1836536,792340,10396641233,10275003941,100,100,100,100,.19,.19,.07,.07
04897,"Bamberg, SC Urban Cluster",99999,"Not in a metro/micro area",,3492,1526,7238001,7238001,3492,1526,7238001,7238001,,,,,100,100,100,100,,,,
04924,"Bandon, OR Urban Cluster",18300,"Coos Bay, OR Micro Area",2,3119,1858,5715434,5707594,3119,1858,5715434,5707594,63043,30593,4678458195,4134068696,100,100,100,100,4.95,6.07,.12,.14
04951,"Bangor, ME Urbanized Area",12620,"Bangor, ME Metro Area",1,61210,27142,113796447,110091842,61210,27142,113796447,110091842,153923,73860,9212796487,8799125852,100,100,100,100,39.77,36.75,1.24,1.25
05005,"Baraboo, WI Urban Cluster",12660,"Baraboo, WI Micro Area",2,13759,6380,16282378,16095354,13759,6380,16282378,16095354,61976,29708,2197907262,2152025932,100,100,100,100,22.2,21.48,.74,.75
05032,"Barbourville, KY Urban Cluster",99999,"Not in a metro/micro area",,6300,2867,13249381,13090729,6300,2867,13249381,13090729,,,,,100,100,100,100,,,,
05059,"Bardstown, KY Urban Cluster",31140,"Louisville/Jefferson County, KY-IN Metro Area",1,18702,7927,44383364,43997290,18702,7927,44383364,43997290,1283566,559837,10867998088,10647084608,100,100,100,100,1.46,1.42,.41,.41
05086,"Bar Harbor, ME Urban Cluster",99999,"Not in a metro/micro area",,2575,1745,4389497,4389497,2575,1745,4389497,4389497,,,,,100,100,100,100,,,,
05113,"Barnesville, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",1,7167,2769,14156722,14054287,7167,2769,14156722,14054287,5268860,2165495,21965773272,21596721304,100,100,100,100,.14,.13,.06,.07
05140,"Barnesville, OH Urban Cluster",48540,"Wheeling, WV-OH Metro Area",1,4351,2051,5185594,5154240,4351,2051,5185594,5154240,147950,69542,2492738205,2443342150,100,100,100,100,2.94,2.95,.21,.21
