job_title,exclude_reason
deputy director epidemiology amp surveillance job,No (Previously Marked as Bad Title & Role)
deputy director farmer services and systems,No (Previously Marked as Bad Title & Role)
deputy director farmer services and systems job,No (Previously Marked as Bad Title & Role)
deputy director integrated programming integrated delivery job,No (Previously Marked as Bad Title & Role)
deputy director nautical operations,No (Previously Marked as Bad Title & Role)
deputy director neglected infectious diseases,No (Previously Marked as Bad Title & Role)
deputy director real property,No (Previously Marked as Bad Title & Role)
deputy director strategy planning and management,No (Previously Marked as Bad Title & Role)
deputy director strategy planning and management job,No (Previously Marked as Bad Title & Role)
deputy director vaccine delivery immunization systems,No (Previously Marked as Bad Title & Role)
deputy director vaccine delivery immunization systems job,No (Previously Marked as Bad Title & Role)
deputy worldwide controller new york ny,No (Previously Marked as Bad Title & Role)
design director consumer web and,No (Previously Marked as Bad Title & Role)
design director consumer web mobile &amp b2b,No (Previously Marked as Bad Title & Role)
design director consumer web mobile amp b2b,No (Previously Marked as Bad Title & Role)
design director ecommerce,No (Previously Marked as Bad Title & Role)
design director social platforms new york ny,No (Previously Marked as Bad Title & Role)
design director women's active,No (Previously Marked as Bad Title & Role)
design in safety and management of change program manager,No (Previously Marked as Bad Title & Role)
Development Director ( Part time),No (Previously Marked as Bad Title & Role)
Development Director King County Sexual Assault Resource Center (KCSARC),No (Previously Marked as Bad Title & Role)
dietary services director,No (Previously Marked as Bad Title & Role)
digital campaign and social engagement specialist redbull com salzburg austria,No (Previously Marked as Bad Title & Role)
digital campaign manager new york ny,No (Previously Marked as Bad Title & Role)
digital creative director,No (Previously Marked as Bad Title & Role)
digital experience director it,No (Previously Marked as Bad Title & Role)
digital experience project manager,No (Previously Marked as Bad Title & Role)
digital product manager,No (Previously Marked as Bad Title & Role)
digital production specialist las vegas nv,No (Previously Marked as Bad Title & Role)
digital video editor stamford ct,No (Previously Marked as Bad Title & Role)
dining services director full time,No (Previously Marked as Bad Title & Role)
dir bm mgmt ops,No (Previously Marked as Bad Title & Role)
dir hosting services,No (Previously Marked as Bad Title & Role)
direct response program planner new york ny,No (Previously Marked as Bad Title & Role)
director,No (Previously Marked as Bad Title & Role)
director alliances product marketing,No (Previously Marked as Bad Title & Role)
director amazon instant video video experience and cross platform features,No (Previously Marked as Bad Title & Role)
director amazon s3 access services (amazon web services),No (Previously Marked as Bad Title & Role)
director amazon s3 access services amazon web services,No (Previously Marked as Bad Title & Role)
director amazon s3 index services (amazon web services),No (Previously Marked as Bad Title & Role)
director amazon s3 storage services (amazon web services),No (Previously Marked as Bad Title & Role)
director ambulatory applications epic,No (Previously Marked as Bad Title & Role)
director and program supervisor,No (Previously Marked as Bad Title & Role)
director assessment and student information services,No (Previously Marked as Bad Title & Role)
director assurance and enterprise risk management,No (Previously Marked as Bad Title & Role)
director aws db services,No (Previously Marked as Bad Title & Role)
director aws edge services (lookout),No (Previously Marked as Bad Title & Role)
director aws edge services lookout ,No (Previously Marked as Bad Title & Role)
director azure capacity,No (Previously Marked as Bad Title & Role)
director azure capacity job,No (Previously Marked as Bad Title & Role)
director b2b sales,No (Previously Marked as Bad Title & Role)
director banquets,No (Previously Marked as Bad Title & Role)
director benefits los angeles ca,No (Previously Marked as Bad Title & Role)
director biometrics (biostatistics),No (Previously Marked as Bad Title & Role)
director biometrics biostatistics,No (Previously Marked as Bad Title & Role)
director business analysis and initiatives,No (Previously Marked as Bad Title & Role)
director business intelligence,No (Previously Marked as Bad Title & Role)
director business management,No (Previously Marked as Bad Title & Role)
director business management corp wwpg,No (Previously Marked as Bad Title & Role)
director business management corp wwpg job,No (Previously Marked as Bad Title & Role)
director business management job,No (Previously Marked as Bad Title & Role)
director business management wwpg,No (Previously Marked as Bad Title & Role)
director business management wwpg job,No (Previously Marked as Bad Title & Role)
director business program manager job,No (Previously Marked as Bad Title & Role)
director business program manager partner incentives wpg,No (Previously Marked as Bad Title & Role)
director business programs,No (Previously Marked as Bad Title & Role)
director business programs job,No (Previously Marked as Bad Title & Role)
director business solutions,No (Previously Marked as Bad Title & Role)
director business solutions managed care operations,No (Previously Marked as Bad Title & Role)
director business solutions tacoma,No (Previously Marked as Bad Title & Role)
director business strategy,No (Previously Marked as Bad Title & Role)
director business strategy amp design microsoft partner network job,No (Previously Marked as Bad Title & Role)
director case management,No (Previously Marked as Bad Title & Role)
director category leader home improvement,No (Previously Marked as Bad Title & Role)
director category management,No (Previously Marked as Bad Title & Role)
director category management job,No (Previously Marked as Bad Title & Role)
director category management lead retail,No (Previously Marked as Bad Title & Role)
director category management lead xbox,No (Previously Marked as Bad Title & Role)
director channel sales,No (Previously Marked as Bad Title & Role)
director channel sales job,No (Previously Marked as Bad Title & Role)
director client manager,No (Previously Marked as Bad Title & Role)
director communications partner news agenda,No (Previously Marked as Bad Title & Role)
director communications partner news agenda  ,No (Previously Marked as Bad Title & Role)
director compensation and benefits,No (Previously Marked as Bad Title & Role)
